"filename", "language", "JSON", "TypeScript", "HTML", "JavaScript", "JSON with Comments", "Batch", "XML", "Rust", "TOML", "Markdown", "TypeScript JSX", "YAML", "CSS", "Protocol Buffers", "comment", "blank", "total"
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 4976, 0, 0, 0, 0, 0, 2, 532, 5510
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 16, 23, 105
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 4, 29
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\capabilities\main.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\capabilities\migrated.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\gen\schemas\acl-manifests.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\gen\schemas\capabilities.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\gen\schemas\desktop-schema.json", "JSON", 6833, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6833
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\gen\schemas\windows-schema.json", "JSON", 6833, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6833
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\commands.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\commands\general.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 8, 12, 147
